run	aime@1	aime@16	amc@1	amc@16	math@1	math@16	olympiad_bench@1	olympiad_bench@16	aime_l	amc_l	math_l	olympiad_bench_l	avg@1	avg@16	avg_len
grpo_1_5b_s16_1_metrics.	23.3333	60.0000	60.7681	91.5663	73.9750	96.2000	47.5463	73.7778	5022.81	3702.44	2586.31	3676.21	51.4057	80.3860	3746.9443
e3_1_5b_grpo_2_s16_1_metrics.	30.2083	66.6667	62.1988	87.9518	75.8375	97.0000	49.3981	76.5926	4956.86	3573.80	2385.29	3596.16	54.4107	82.0528	3628.0278
e3_1_5b_grpo_3_s16_1_metrics.	25.2083	53.3333	60.4669	89.1566	73.8000	96.2000	46.5556	74.9630	4534.29	3560.57	2535.77	3651.28	51.5077	78.4132	3570.4791
tw_covvar_grpo_1_5b_0.005_s16_1_metrics.	11.0417	40.0000	43.0723	72.2892	68.0750	93.4000	34.7593	66.2222	5992.05	5352.38	4441.08	5421.45	39.2371	67.9778	5301.7411
tw_covvar_grpo_1_5b_0.00001_s16_1_metrics.	25.8333	60.0000	61.2952	89.1566	75.3875	96.6000	49.2222	75.5556	4951.09	3760.44	2551.74	3717.35	52.9346	80.3280	3745.1543
dgrpo_1_5b_0.00005_s16_1_metrics.	26.4583	66.6667	60.9187	89.1566	75.2250	96.2000	48.3426	75.7037	4935.49	3730.03	2540.37	3697.68	52.7362	81.9317	3725.8944
dgrpo_1_5b_0.00008_s16_1_metrics.	25.2083	53.3333	62.9518	86.7470	78.7375	96.6000	49.1389	74.9630	5342.86	4120.02	2888.08	4166.17	54.0091	77.9108	4129.2848
dgrpo_1_5b_0.0005_s16_1_metrics.	13.5417	36.6667	42.8464	80.7229	60.5625	94.6000	33.9815	67.7037	6296.77	6311.11	6167.45	6267.95	37.7330	69.9233	6260.8216
tw_covvar_grpo_1_5b_0.0005_s16_1_metrics.	26.2500	60.0000	60.0904	89.1566	73.3000	96.2000	44.4537	75.2593	4987.46	3646.84	2413.97	3641.66	51.0235	80.1540	3672.4818
tw_covvar_grpo_1_5b_0.0009_s16_1_metrics.	26.8750	46.6667	60.2410	86.7470	75.7875	95.6000	47.6389	73.3333	4598.14	3695.64	2507.75	3557.60	52.6356	75.5867	3589.7840
dgrpo_1_5b_0.00001_s16_1_metrics.	35.4167	73.3333	64.6084	87.9518	77.6500	95.8000	49.5278	75.4074	4799.27	3510.94	2312.69	3540.66	56.8007	83.1231	3540.8913
dgrpo_1_5b_0.00003_s16_1_metrics.	26.0417	66.6667	60.6928	89.1566	72.3625	96.4000	45.3333	73.9259	5173.26	3990.95	2700.65	3963.81	51.1076	81.5373	3957.1669
dgrpo_1_5b_0.00005_2sub_half_s16_1_metrics.	21.6667	56.6667	58.9608	84.3373	74.1750	95.0000	46.3426	73.9259	5100.31	3898.17	2670.09	3992.37	50.2863	77.4825	3915.2350
dgrpo_1_5b_0.00001_3_clamped_2.0_s16_1_metrics.	28.1250	60.0000	64.1566	87.9518	75.2625	97.0000	47.2130	74.6667	4972.70	3685.68	2483.11	3735.24	53.6893	79.9046	3719.1816
dgrpo_1_5b_0.00001_2_s16_1_metrics.	25.2083	56.6667	63.0271	87.9518	77.7875	96.4000	49.8981	76.1481	4667.50	3443.24	2325.31	3384.99	53.9803	79.2917	3455.2601
dgrpo_1_5b_0.00001_4_seqq_norm_s16_1_metrics.	27.7083	60.0000	60.3916	87.9518	74.8875	96.4000	49.6019	75.5556	4760.50	3738.32	2562.82	3724.24	53.1473	79.9768	3696.4693
dgrpo_1_5b_0.5_seqq_norm_s16_1_metrics.	28.5417	63.3333	61.5964	89.1566	75.0500	95.8000	48.4444	74.5185	4836.52	3687.64	2478.20	3604.26	53.4081	80.7021	3651.6531
dgrpo_1_5b_1.0_seqq_norm_s16_1_metrics.	23.1250	50.0000	60.2410	91.5663	70.2875	95.8000	44.3056	73.7778	4953.68	3703.40	2715.81	3799.16	49.4898	77.7860	3793.0161
e3_1_5b_e3_s16_1_metrics.	28.1250	63.3333	61.8976	89.1566	75.4125	96.4000	48.8796	74.8148	4693.18	3607.76	2439.00	3572.83	53.5787	80.9262	3578.1934
e3_1_5b_e3_2_s16_1_metrics.	30.6250	66.6667	61.5211	89.1566	75.3750	96.8000	48.1481	74.9630	5051.33	3679.69	2498.04	3737.02	53.9173	81.8966	3741.5212
e3_1_5b_e3_3_s16_1_metrics.	25.4167	60.0000	59.9398	89.1566	73.1625	97.2000	45.4167	75.2593	4553.38	3411.63	2278.75	3420.15	50.9839	80.4040	3415.9790
